Geo_Code,Prov_Name,Topic,Characteristic,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
01,Canada,Population and dwelling counts,Population in 2011,1,33476688,+,0,...,0,...
13,New Brunswick,Population and dwelling counts,Population in 2011,1,751171,,0,...,0,...
60,Yukon,Population and dwelling counts,Population in 2011,1,33897,,0,...,0,...
11,Prince Edward Island,Population and dwelling counts,Population in 2011,1,140204,,0,...,0,...
48,Alberta,Population and dwelling counts,Population in 2011,1,3645257,+,0,...,0,...
35,Ontario,Population and dwelling counts,Population in 2011,1,12851821,+,0,...,0,...
10,Newfoundland and Labrador,Population and dwelling counts,Population in 2011,1,514536,,0,...,0,...
24,Quebec,Population and dwelling counts,Population in 2011,1,7903001,+,0,...,0,...
61,Northwest Territories,Population and dwelling counts,Population in 2011,1,41462,,0,...,0,...
12,Nova Scotia,Population and dwelling counts,Population in 2011,1,921727,,0,...,0,...
01,Canada,Population and dwelling counts,Population in 2006,1,31612897,+,0,...,0,...
13,New Brunswick,Population and dwelling counts,Population in 2006,1,729997,,0,...,0,...
61,Northwest Territories,Population and dwelling counts,Population in 2006,1,41464,,0,...,0,...
60,Yukon,Population and dwelling counts,Population in 2006,1,30372,,0,...,0,...
11,Prince Edward Island,Population and dwelling counts,Population in 2006,1,135851,,0,...,0,...
48,Alberta,Population and dwelling counts,Population in 2006,1,3290350,+,0,...,0,...
35,Ontario,Population and dwelling counts,Population in 2006,1,12160282,+,0,...,0,...
10,Newfoundland and Labrador,Population and dwelling counts,Population in 2006,1,505469,,0,...,0,...
24,Quebec,Population and dwelling counts,Population in 2006,1,7546131,+,0,...,0,...
12,Nova Scotia,Population and dwelling counts,Population in 2006,1,913462,,0,...,0,...
47,Saskatchewan,Population and dwelling counts,Population in 2011,1,1033381,+,0,...,0,...
47,Saskatchewan,Population and dwelling counts,Population in 2006,1,968157,+,0,...,0,...
46,Manitoba,Population and dwelling counts,Population in 2011,1,1208268,+,0,...,0,...
46,Manitoba,Population and dwelling counts,Population in 2006,1,1148401,,0,...,0,...
59,British Columbia,Population and dwelling counts,Population in 2011,1,4400057,+,0,...,0,...
59,British Columbia,Population and dwelling counts,Population in 2006,1,4113487,+,0,...,0,...
62,Nunavut,Population and dwelling counts,Population in 2006,1,29474,,0,...,0,...
62,Nunavut,Population and dwelling counts,Population in 2011,1,31906,,0,...,0,...
